x1,x2,x3,x4,x5,x6,x7
11.84,0.48,14.36,25.21,25.21,0.81,0.98
45.6,0.53,13.85,24.04,26.01,0.91,0.96
3.53,0.09,24.4,49.3,11.3,6.82,0.85
3.68,0.37,13.57,25.12,26,0.82,1.01
48.29,0.39,14.5,25.9,23.32,2.18,0.93
17.96,0.28,9.75,17.05,37.2,0.46,0.98
7.37,0.51,13.6,34.28,10.69,8.8,0.56
4.23,0.34,3.8,7.1,88.2,1.11,0.97
6.44,0.19,4.7,9.1,73.2,0.74,1.03
16.23,0.39,3.1,5.4,121.5,0.42,1
10.59,0.42,2.4,4.7,135.6,0.87,0.98
23.54,0.23,2.6,4.6,151.8,0.31,1.02
5.4,0.12,2.8,6.2,111.2,1.14,1.07
283.15,0.15,1.76,2.97,215.86,0.14,0.98
316.6,0.32,1.45,2.43,263.41,0.25,0.98
307.31,0.17,1.63,2.73,235.7,0.21,0.99
322.52,0.31,1.38,2.32,282.21,0.02,1
254.58,0.3,0.9,1.48,410.3,0.24,0.93
304.09,0.28,0.79,1.36,438.36,0.19,1.01
202.45,0.04,0.74,1.27,309.77,0.29,0.99
